;params;AIC;resid_sum
173;(0, 0, 2, 2, 3, 1, 12);1563.1413235075142;-67689.82381996233
174;(0, 0, 2, 2, 3, 2, 12);1563.1413235075142;-50591.32313091401
175;(0, 0, 2, 2, 3, 3, 12);1563.1413235075142;60805.03036080627
176;(0, 0, 2, 3, 0, 0, 12);1563.1413235075142;35555240.92312534
177;(0, 0, 2, 3, 0, 1, 12);1563.1413235075142;35554274.09997596
178;(0, 0, 2, 3, 0, 2, 12);1563.1413235075142;35556866.094626576
179;(0, 0, 2, 3, 0, 3, 12);1563.1413235075142;35556269.58366667
180;(0, 0, 2, 3, 1, 0, 12);1563.1413235075142;9795207.831893738
181;(0, 0, 2, 3, 1, 1, 12);1563.1413235075142;9803638.04290179
182;(0, 0, 2, 3, 1, 2, 12);1563.1413235075142;9806199.351016311
183;(0, 0, 2, 3, 1, 3, 12);1563.1413235075142;9802422.276300522
184;(0, 0, 2, 3, 2, 0, 12);1563.1413235075142;7029824.586629378
185;(0, 0, 2, 3, 2, 1, 12);1563.1413235075142;7177260.037888719
186;(0, 0, 2, 3, 2, 2, 12);1563.1413235075142;7185624.715847436
187;(0, 0, 2, 3, 2, 3, 12);1563.1413235075142;7198078.177516375
188;(0, 0, 2, 3, 3, 0, 12);1563.1413235075142;129455.26254458539
189;(0, 0, 2, 3, 3, 1, 12);1563.1413235075142;166516.4264817573
190;(0, 0, 2, 3, 3, 2, 12);1563.1413235075142;-59820.53340271069
191;(0, 0, 2, 3, 3, 3, 12);1563.1413235075142;-41852.88016178692
192;(0, 0, 3, 0, 0, 0, 12);1563.1413235075142;35861678.30443716
193;(0, 0, 3, 0, 0, 1, 12);1563.1413235075142;32468787.27899392
194;(0, 0, 3, 0, 0, 2, 12);1563.1413235075142;31568852.356326167
195;(0, 0, 3, 0, 0, 3, 12);1563.1413235075142;31321928.382034756
196;(0, 0, 3, 0, 1, 0, 12);1563.1413235075142;10992546.309674053
197;(0, 0, 3, 0, 1, 1, 12);1563.1413235075142;9321205.105871432
198;(0, 0, 3, 0, 1, 2, 12);1563.1413235075142;8776172.499789162
199;(0, 0, 3, 0, 1, 3, 12);1563.1413235075142;8418236.75636808
200;(0, 0, 3, 0, 2, 0, 12);1563.1413235075142;-332672.73515353445
201;(0, 0, 3, 0, 2, 1, 12);1563.1413235075142;3134089.4861863363
202;(0, 0, 3, 0, 2, 2, 12);1563.1413235075142;4621556.56306738
203;(0, 0, 3, 0, 2, 3, 12);1563.1413235075142;5070320.169574261
204;(0, 0, 3, 0, 3, 0, 12);1563.1413235075142;-2059098.4293034272
205;(0, 0, 3, 0, 3, 1, 12);1563.1413235075142;-1071026.7691003508
206;(0, 0, 3, 0, 3, 2, 12);1563.1413235075142;-467724.44909995794
207;(0, 0, 3, 0, 3, 3, 12);1563.1413235075142;-14684.949451013003
208;(0, 0, 3, 1, 0, 0, 12);1563.1413235075142;31287209.73661293
209;(0, 0, 3, 1, 0, 1, 12);1563.1413235075142;31229782.981221713
210;(0, 0, 3, 1, 0, 2, 12);1563.1413235075142;31230009.301171422
211;(0, 0, 3, 1, 0, 3, 12);1563.1413235075142;31233192.290402077
212;(0, 0, 3, 1, 1, 0, 12);1563.1413235075142;8560880.247533135
213;(0, 0, 3, 1, 1, 1, 12);1563.1413235075142;8335352.12181304
214;(0, 0, 3, 1, 1, 2, 12);1563.1413235075142;8336231.9416475855
215;(0, 0, 3, 1, 1, 3, 12);1563.1413235075142;8373520.680497717
216;(0, 0, 3, 1, 2, 0, 12);1563.1413235075142;2922177.2543747616
217;(0, 0, 3, 1, 2, 1, 12);1563.1413235075142;4948731.763270115
218;(0, 0, 3, 1, 2, 2, 12);1563.1413235075142;5245124.165484352
219;(0, 0, 3, 1, 2, 3, 12);1563.1413235075142;5286433.660020413
220;(0, 0, 3, 1, 3, 0, 12);1563.1413235075142;-1681791.3202018393
221;(0, 0, 3, 1, 3, 1, 12);1563.1413235075142;-546217.6750539532
222;(0, 0, 3, 1, 3, 2, 12);1563.1413235075142;15660.803219799884
223;(0, 0, 3, 1, 3, 3, 12);1563.1413235075142;222757.7733394187
224;(0, 0, 3, 2, 0, 0, 12);1563.1413235075142;31227945.80257927
225;(0, 0, 3, 2, 0, 1, 12);1563.1413235075142;31212812.28973805
226;(0, 0, 3, 2, 0, 2, 12);1563.1413235075142;31230332.40660473
227;(0, 0, 3, 2, 0, 3, 12);1563.1413235075142;31230657.140685566
228;(0, 0, 3, 2, 1, 0, 12);1563.1413235075142;8358945.1557973195
229;(0, 0, 3, 2, 1, 1, 12);1563.1413235075142;8336125.894925602
230;(0, 0, 3, 2, 1, 2, 12);1563.1413235075142;8330742.910864983
231;(0, 0, 3, 2, 1, 3, 12);1563.1413235075142;8348984.584926231
232;(0, 0, 3, 2, 2, 0, 12);1563.1413235075142;5258182.13606431
233;(0, 0, 3, 2, 2, 1, 12);1563.1413235075142;5552979.416016893
234;(0, 0, 3, 2, 2, 2, 12);1563.1413235075142;5592722.356560923
235;(0, 0, 3, 2, 2, 3, 12);1563.1413235075142;5589278.918790622
236;(0, 0, 3, 2, 3, 0, 12);1563.1413235075142;-831983.6045612493
237;(0, 0, 3, 2, 3, 1, 12);1563.1413235075142;139071.90838113753
238;(0, 0, 3, 2, 3, 2, 12);1563.1413235075142;662224.0744730304
239;(0, 0, 3, 2, 3, 3, 12);1563.1413235075142;999195.5070323432
240;(0, 0, 3, 3, 0, 0, 12);1563.1413235075142;31230099.849900782
241;(0, 0, 3, 3, 0, 1, 12);1563.1413235075142;31230791.007729266
242;(0, 0, 3, 3, 0, 2, 12);1563.1413235075142;31230844.491322033
243;(0, 0, 3, 3, 0, 3, 12);1563.1413235075142;31232216.374496624
244;(0, 0, 3, 3, 1, 0, 12);1563.1413235075142;8337808.210880315
245;(0, 0, 3, 3, 1, 1, 12);1563.1413235075142;8345885.781525284
246;(0, 0, 3, 3, 1, 2, 12);1563.1413235075142;8348001.861061266
247;(0, 0, 3, 3, 1, 3, 12);1563.1413235075142;8349493.508630519
248;(0, 0, 3, 3, 2, 0, 12);1563.1413235075142;5454711.149974957
249;(0, 0, 3, 3, 2, 1, 12);1563.1413235075142;5584729.498237293
250;(0, 0, 3, 3, 2, 2, 12);1563.1413235075142;5593206.316527755
251;(0, 0, 3, 3, 2, 3, 12);1563.1413235075142;5598900.335597687
252;(0, 0, 3, 3, 3, 0, 12);1563.1413235075142;1019644.7037067963
253;(0, 0, 3, 3, 3, 1, 12);1563.1413235075142;-476739.51462324196
254;(0, 0, 3, 3, 3, 2, 12);1563.1413235075142;180729.6516535636
255;(0, 0, 3, 3, 3, 3, 12);1563.1413235075142;688659.8128102222
256;(0, 1, 0, 0, 0, 0, 12);1563.1413235075142;2761819.0
257;(0, 1, 0, 0, 0, 1, 12);1563.1413235075142;1638589.4951841729
258;(0, 1, 0, 0, 0, 2, 12);1563.1413235075142;958966.1582267416
259;(0, 1, 0, 0, 0, 3, 12);1563.1413235075142;742410.3245183922
260;(0, 1, 0, 0, 1, 0, 12);1563.1413235075142;-709486.9445659475
261;(0, 1, 0, 0, 1, 1, 12);1563.1413235075142;-597619.4771501241
262;(0, 1, 0, 0, 1, 2, 12);1563.1413235075142;-820303.6708274207
263;(0, 1, 0, 0, 1, 3, 12);1563.1413235075142;-833999.5702433143
264;(0, 1, 0, 0, 2, 0, 12);1563.1413235075142;-1381695.755871872
265;(0, 1, 0, 0, 2, 1, 12);1563.1413235075142;-1765853.2359506583
266;(0, 1, 0, 0, 2, 2, 12);1563.1413235075142;-2055363.2460863888
267;(0, 1, 0, 0, 2, 3, 12);1563.1413235075142;-2205439.472762648
268;(0, 1, 0, 0, 3, 0, 12);1563.1413235075142;2510151.436943529
269;(0, 1, 0, 0, 3, 1, 12);1563.1413235075142;285003.5962651549
270;(0, 1, 0, 0, 3, 2, 12);1563.1413235075142;-1128655.1507426174
271;(0, 1, 0, 0, 3, 3, 12);1563.1413235075142;-1943287.3142969476
272;(0, 1, 0, 1, 0, 0, 12);1563.1413235075142;149900.74586133775
273;(0, 1, 0, 1, 0, 1, 12);1563.1413235075142;89787.91666672903
274;(0, 1, 0, 1, 0, 2, 12);1563.1413235075142;474339.73030208383
275;(0, 1, 0, 1, 0, 3, 12);1563.1413235075142;470632.8915541056
276;(0, 1, 0, 1, 1, 0, 12);1563.1413235075142;-613736.9280282098
277;(0, 1, 0, 1, 1, 1, 12);1563.1413235075142;-665124.7238316196
278;(0, 1, 0, 1, 1, 2, 12);1563.1413235075142;-822003.6885574699
279;(0, 1, 0, 1, 1, 3, 12);1563.1413235075142;-813912.6063180388
280;(0, 1, 0, 1, 2, 0, 12);1563.1413235075142;-2307799.934045957
281;(0, 1, 0, 1, 2, 1, 12);1563.1413235075142;-2279981.010765512
282;(0, 1, 0, 1, 2, 2, 12);1563.1413235075142;-2232642.431817162
283;(0, 1, 0, 1, 2, 3, 12);1563.1413235075142;-2219701.9877576814
284;(0, 1, 0, 1, 3, 0, 12);1563.1413235075142;-1231278.5790181025
285;(0, 1, 0, 1, 3, 1, 12);1563.1413235075142;-2434986.217688578
