;params;AIC;RMSE
113;(0, 0, 2, 1, 1, 1, 12);1320.163814828446;417907.38103127026
114;(0, 0, 2, 1, 1, 2, 12);1322.163386845981;417915.6972888737
115;(0, 0, 2, 1, 1, 3, 12);1324.1512313043854;417377.1587389063
116;(0, 0, 2, 1, 2, 0, 12);968.5699126104247;450424.3381209166
117;(0, 0, 2, 1, 2, 1, 12);970.072215021879;436103.5420864209
118;(0, 0, 2, 1, 2, 2, 12);972.0423842797896;436348.2380994612
119;(0, 0, 2, 1, 2, 3, 12);974.0317393597818;436615.45490176615
120;(0, 0, 2, 2, 0, 0, 12);1774.9703359778161;789221.846926446
121;(0, 0, 2, 2, 0, 1, 12);1776.968232453759;789471.3409086884
122;(0, 0, 2, 2, 0, 2, 12);1778.9682788685639;789451.9231611347
123;(0, 0, 2, 2, 0, 3, 12);1780.968286913026;789381.6205445867
124;(0, 0, 2, 2, 1, 0, 12);1320.1718957679107;418258.05937702727
125;(0, 0, 2, 2, 1, 1, 12);1322.1635290359814;417912.081476892
126;(0, 0, 2, 2, 1, 2, 12);1324.156323240279;417637.95330904645
127;(0, 0, 2, 2, 1, 3, 12);1326.150821731902;417346.7660582013
128;(0, 0, 2, 2, 2, 0, 12);970.0893516862814;439758.90415313357
129;(0, 0, 2, 2, 2, 1, 12);972.0225515039306;436330.7212967109
130;(0, 0, 2, 2, 2, 2, 12);974.0003051827549;434759.2794037384
131;(0, 0, 2, 2, 2, 3, 12);975.9998105999784;434736.86299382395
132;(0, 0, 2, 3, 0, 0, 12);1776.9683115392231;789398.3753550022
133;(0, 0, 2, 3, 0, 1, 12);1778.9688049345673;789380.8409721757
134;(0, 0, 2, 3, 0, 2, 12);1780.9682493574524;789429.5522365405
135;(0, 0, 2, 3, 0, 3, 12);1782.9682278928271;789416.0302011702
136;(0, 0, 2, 3, 1, 0, 12);1322.1563509805426;417581.8437720115
137;(0, 0, 2, 3, 1, 1, 12);1324.1517263258343;417383.5207660301
138;(0, 0, 2, 3, 1, 2, 12);1326.1509891472015;417353.55306111294
139;(0, 0, 2, 3, 1, 3, 12);1328.1508002000378;417338.2312469282
140;(0, 0, 2, 3, 2, 0, 12);972.0457107141609;438141.0124707682
141;(0, 0, 2, 3, 2, 1, 12);974.0113149260064;435768.27035723237
142;(0, 0, 2, 3, 2, 2, 12);975.9999135749031;434766.9851503253
143;(0, 0, 2, 3, 2, 3, 12);977.9991977838504;434663.33617254155
144;(0, 0, 3, 0, 0, 0, 12);1776.5912039973725;869598.5932553691
145;(0, 0, 3, 0, 0, 1, 12);1777.7222299886125;772372.2939867657
146;(0, 0, 3, 0, 0, 2, 12);1779.5414205052953;748973.186540016
147;(0, 0, 3, 0, 0, 3, 12);1781.4962074116675;742125.4588599657
148;(0, 0, 3, 0, 1, 0, 12);1320.0923236723809;407019.0737576248
149;(0, 0, 3, 0, 1, 1, 12);1321.8484992411052;398338.9383046582
150;(0, 0, 3, 0, 1, 2, 12);1323.7812048800217;395978.5274601278
151;(0, 0, 3, 0, 1, 3, 12);1325.7304381698477;393530.51533353666
152;(0, 0, 3, 0, 2, 0, 12);967.4148699256775;498934.42732849484
153;(0, 0, 3, 0, 2, 1, 12);967.6834029206786;427800.9445633037
154;(0, 0, 3, 0, 2, 2, 12);969.1926327187027;411613.42025772337
155;(0, 0, 3, 0, 2, 3, 12);971.0423913306226;408207.50347662566
156;(0, 0, 3, 1, 0, 0, 12);1777.52547492224;740762.866001535
157;(0, 0, 3, 1, 0, 1, 12);1779.4842167503552;739743.574470436
158;(0, 0, 3, 1, 0, 2, 12);1781.483971871382;739720.1853939877
159;(0, 0, 3, 1, 0, 3, 12);1783.4839516176978;739693.3104993495
160;(0, 0, 3, 1, 1, 0, 12);1321.778531677122;395825.31838175864
161;(0, 0, 3, 1, 1, 1, 12);1323.7372120120895;393844.61407914624
162;(0, 0, 3, 1, 1, 2, 12);1325.7371972324497;393837.0712968455
163;(0, 0, 3, 1, 1, 3, 12);1327.7291342962244;393440.14122465084
164;(0, 0, 3, 1, 2, 0, 12);967.3526265951177;419498.6979943604
165;(0, 0, 3, 1, 2, 1, 12);969.0518945526064;407819.582055726
166;(0, 0, 3, 1, 2, 2, 12);971.0218926860458;407370.3012378777
167;(0, 0, 3, 1, 2, 3, 12);973.0044409417004;407110.9727462035
168;(0, 0, 3, 2, 0, 0, 12);1779.487060283568;739734.2032068572
169;(0, 0, 3, 2, 0, 1, 12);1781.4839829202183;739421.8302246851
170;(0, 0, 3, 2, 0, 2, 12);1783.483959883829;739714.7312556439
171;(0, 0, 3, 2, 0, 3, 12);1785.4839564012464;739750.9016622318
172;(0, 0, 3, 2, 1, 0, 12);1323.743321405308;394157.0255546093
173;(0, 0, 3, 2, 1, 1, 12);1325.7372010962056;393838.90531148633
174;(0, 0, 3, 2, 1, 2, 12);1327.736021416454;393832.7357596702
175;(0, 0, 3, 2, 1, 3, 12);1329.728747352768;393396.0165624502
176;(0, 0, 3, 2, 2, 0, 12);968.9936709126412;407003.1091581783
177;(0, 0, 3, 2, 2, 1, 12);970.9752814510312;406531.5488334593
178;(0, 0, 3, 2, 2, 2, 12);972.9445688971825;404897.8491632144
179;(0, 0, 3, 2, 2, 3, 12);974.9445645948008;404921.30535015045
180;(0, 0, 3, 3, 0, 0, 12);1781.484044640874;739705.9254848706
181;(0, 0, 3, 3, 0, 1, 12);1783.484688611657;739727.4442361357
182;(0, 0, 3, 3, 0, 2, 12);1785.4839773470762;739727.2561183928
183;(0, 0, 3, 3, 0, 3, 12);1787.4839555842138;739741.4949240087
184;(0, 0, 3, 3, 1, 0, 12);1325.7327019354923;393591.58376549376
185;(0, 0, 3, 3, 1, 1, 12);1327.7293868292936;393424.8287161856
186;(0, 0, 3, 3, 1, 2, 12);1329.7288440146715;393398.9453266736
187;(0, 0, 3, 3, 1, 3, 12);1331.7287415492049;393397.93111823243
188;(0, 0, 3, 3, 2, 0, 12);970.9820784680562;406813.6624901741
189;(0, 0, 3, 3, 2, 1, 12);972.958823183315;405760.3691669948
190;(0, 0, 3, 3, 2, 2, 12);974.9445646204472;404894.8464327551
191;(0, 0, 3, 3, 2, 3, 12);976.9444721946854;404895.82803519425
192;(0, 1, 0, 0, 0, 0, 12);1596.2094468757064;479271.99179095356
193;(0, 1, 0, 0, 0, 1, 12);1581.7283665680138;369708.1711406558
194;(0, 1, 0, 0, 0, 2, 12);1575.744140718929;343659.5199887463
195;(0, 1, 0, 0, 0, 3, 12);1575.6507141350141;332216.0144856494
196;(0, 1, 0, 0, 1, 0, 12);1214.990937691265;307896.83362774557
197;(0, 1, 0, 0, 1, 1, 12);1214.7617024795816;305121.6017172406
198;(0, 1, 0, 0, 1, 2, 12);1216.4324160378087;303686.8263866861
199;(0, 1, 0, 0, 1, 3, 12);1218.4683162832134;303680.0725228873
200;(0, 1, 0, 0, 2, 0, 12);911.8878597341513;428868.23952076584
201;(0, 1, 0, 0, 2, 1, 12);895.5350188653488;334944.9688095576
202;(0, 1, 0, 0, 2, 2, 12);894.0789253127526;310170.23755572014
203;(0, 1, 0, 0, 2, 3, 12);895.1083959560015;307707.4546340914
204;(0, 1, 0, 1, 0, 0, 12);1555.456526181057;313406.6667966738
205;(0, 1, 0, 1, 0, 1, 12);1557.1996504140852;312553.78009447857
206;(0, 1, 0, 1, 0, 2, 12);1575.1809413945346;323805.0686607355
207;(0, 1, 0, 1, 0, 3, 12);1576.645175281873;323452.09290400764
208;(0, 1, 0, 1, 1, 0, 12);1215.7477351240414;304757.75116986677
209;(0, 1, 0, 1, 1, 1, 12);1216.768488079588;304498.21061272745
210;(0, 1, 0, 1, 1, 2, 12);1218.4322671197626;303687.29314839264
211;(0, 1, 0, 1, 1, 3, 12);1220.0453385808494;302498.82445345307
212;(0, 1, 0, 1, 2, 0, 12);894.8185789625301;340279.53421858704
213;(0, 1, 0, 1, 2, 1, 12);894.7338267454818;314654.99345359945
214;(0, 1, 0, 1, 2, 2, 12);895.6626741719879;309040.49244837876
215;(0, 1, 0, 1, 2, 3, 12);897.1041863165084;307911.15139964776
216;(0, 1, 0, 2, 0, 0, 12);1559.9372609862473;315422.19818407705
217;(0, 1, 0, 2, 0, 1, 12);1559.0226115066205;311540.8112176665
218;(0, 1, 0, 2, 0, 2, 12);1577.1811297042643;323835.3210252065
219;(0, 1, 0, 2, 0, 3, 12);1578.6460262845055;323459.01532608847
220;(0, 1, 0, 2, 1, 0, 12);1216.554563581786;304212.34221155744
221;(0, 1, 0, 2, 1, 1, 12);1311.1593627282937;308715.2830157324
222;(0, 1, 0, 2, 1, 2, 12);1219.7345031585173;301349.04792384733
223;(0, 1, 0, 2, 1, 3, 12);1221.5751576535902;300701.03955191356
224;(0, 1, 0, 2, 2, 0, 12);894.6692367888276;315216.50233656616
225;(0, 1, 0, 2, 2, 1, 12);895.377847135286;305267.40814896446
226;(0, 1, 0, 2, 2, 2, 12);896.7844560021138;304159.65838456113
227;(0, 1, 0, 2, 2, 3, 12);898.2406506796866;302268.87420390936
228;(0, 1, 0, 3, 0, 0, 12);1558.4216450519275;309899.37425869686
229;(0, 1, 0, 3, 0, 1, 12);1559.9449369332535;307672.71960633795
230;(0, 1, 0, 3, 0, 2, 12);1579.1791188656055;323794.91824640846
231;(0, 1, 0, 3, 0, 3, 12);1580.6452298766158;323454.8856855059
232;(0, 1, 0, 3, 1, 0, 12);1349.857600073665;309701.7028088677
233;(0, 1, 0, 3, 1, 1, 12);1631.6937352250338;358679.25528970716
234;(0, 1, 0, 3, 1, 2, 12);1221.637113660455;300907.99964204227
235;(0, 1, 0, 3, 1, 3, 12);1223.644282838257;300666.6862585591
236;(0, 1, 0, 3, 2, 0, 12);896.1570106038962;309466.740985581
237;(0, 1, 0, 3, 2, 1, 12);897.3281458557899;305193.66797611065
238;(0, 1, 0, 3, 2, 2, 12);898.7240511763231;303178.4621859486
239;(0, 1, 0, 3, 2, 3, 12);900.2398429488036;302264.16508550604
240;(0, 1, 1, 0, 0, 0, 12);1580.8244986868558;408624.36423653166
241;(0, 1, 1, 0, 0, 1, 12);1569.6419324788503;333889.9191877196
242;(0, 1, 1, 0, 0, 2, 12);1569.7743787625639;321706.3050783044
243;(0, 1, 1, 0, 0, 3, 12);1570.9161794488593;315562.8066338523
244;(0, 1, 1, 0, 1, 0, 12);1214.8092099045343;304240.059736566
245;(0, 1, 1, 0, 1, 1, 12);1216.1899683932738;300988.5977104848
246;(0, 1, 1, 0, 1, 2, 12);1218.1418978422316;300916.31430902984
247;(0, 1, 1, 0, 1, 3, 12);1220.1341915738708;300840.52025275957
248;(0, 1, 1, 0, 2, 0, 12);906.4907036691301;424777.59989906946
249;(0, 1, 1, 0, 2, 1, 12);898.3176906760476;334634.75261611445
250;(0, 1, 1, 0, 2, 2, 12);897.6965281901365;311195.3014900421
251;(0, 1, 1, 0, 2, 3, 12);899.1302175732825;308648.38380391494
252;(0, 1, 1, 1, 0, 0, 12);1566.5294529228818;311656.8441280472
253;(0, 1, 1, 1, 0, 1, 12);1568.5239441233505;311695.33561295207
254;(0, 1, 1, 1, 0, 2, 12);1570.4223299890264;310848.5175414432
255;(0, 1, 1, 1, 0, 3, 12);1572.4142681653898;310804.98853062594
256;(0, 1, 1, 1, 1, 0, 12);1216.1607830084045;300905.0149194742
257;(0, 1, 1, 1, 1, 1, 12);1218.155531400779;300917.47161986295
258;(0, 1, 1, 1, 1, 2, 12);1220.1412258304526;300908.51437099266
259;(0, 1, 1, 1, 1, 3, 12);1221.939758594293;299849.7983741588
260;(0, 1, 1, 1, 2, 0, 12);898.5748109339013;340466.262705583
261;(0, 1, 1, 1, 2, 1, 12);897.8034508971768;315548.87383353396
262;(0, 1, 1, 1, 2, 2, 12);899.2179001240777;310392.1695106284
263;(0, 1, 1, 1, 2, 3, 12);901.0854994410146;309603.146701572
264;(0, 1, 1, 2, 0, 0, 12);1568.525056693848;311688.92127454287
265;(0, 1, 1, 2, 0, 1, 12);1570.4897063505389;311483.73266700224
266;(0, 1, 1, 2, 0, 2, 12);1572.4155919432305;310812.3270889119
267;(0, 1, 1, 2, 0, 3, 12);1574.4177949275356;310835.92399806617
268;(0, 1, 1, 2, 1, 0, 12);1218.1527807064183;300926.4409038221
269;(0, 1, 1, 2, 1, 1, 12);1220.1515661343944;300925.21952733805
270;(0, 1, 1, 2, 1, 2, 12);1221.7399800351022;299039.1644088248
271;(0, 1, 1, 2, 1, 3, 12);1223.7357093854685;298750.9199235471
272;(0, 1, 1, 2, 2, 0, 12);897.036407076417;315462.53254145535
273;(0, 1, 1, 2, 2, 1, 12);898.4640743660492;306584.012241179
274;(0, 1, 1, 2, 2, 2, 12);900.3304602543873;305685.0721923475
275;(0, 1, 1, 2, 2, 3, 12);902.2852563157611;304575.827938156
276;(0, 1, 1, 3, 0, 0, 12);1570.413796263892;310789.3434623957
277;(0, 1, 1, 3, 0, 1, 12);1572.4133375761164;310786.90752178873
278;(0, 1, 1, 3, 0, 2, 12);1574.4134113186285;310793.398011163
279;(0, 1, 1, 3, 0, 3, 12);1576.4136323120538;310789.79480497236
280;(0, 1, 1, 3, 1, 0, 12);1220.1238425891202;300819.73771185265
281;(0, 1, 1, 3, 1, 1, 12);1221.8668304157295;299641.2251854408
282;(0, 1, 1, 3, 1, 2, 12);1223.7319378309535;299028.15262269793
283;(0, 1, 1, 3, 1, 3, 12);1225.6455466580856;298437.069299766
284;(0, 1, 1, 3, 2, 0, 12);898.6695590454851;310235.2973437587
285;(0, 1, 1, 3, 2, 1, 12);900.3986620530444;306476.3424789474
286;(0, 1, 1, 3, 2, 2, 12);902.2969971792247;304935.458052807
287;(0, 1, 1, 3, 2, 3, 12);904.2843253550933;304566.14185719006
288;(0, 1, 2, 0, 0, 0, 12);1580.717442308863;398211.618290909
289;(0, 1, 2, 0, 0, 1, 12);1571.5544900151428;330441.35668118624
290;(0, 1, 2, 0, 0, 2, 12);1572.005520180746;319639.52879170317
291;(0, 1, 2, 0, 0, 3, 12);1573.3464444732422;314528.1843410469
292;(0, 1, 2, 0, 1, 0, 12);1217.486915504074;304230.1795913229
293;(0, 1, 2, 0, 1, 1, 12);1218.935874164145;300978.06147515436
294;(0, 1, 2, 0, 1, 2, 12);1220.893254767221;300896.42418218387
295;(0, 1, 2, 0, 1, 3, 12);1222.8873262867094;300833.3664252534
296;(0, 1, 2, 0, 2, 0, 12);909.1145382910861;424948.5136771704
297;(0, 1, 2, 0, 2, 1, 12);902.7335041843767;336249.85540233605
298;(0, 1, 2, 0, 2, 2, 12);902.4499134636933;312173.37355440814
